Time,Voltage,Current,Power,Apparent Power,PF
2024/12/31 0:00:00,243.2,1.97,206,479.104,0.43
2024/12/31 1:00:00,247.4,2.74,490,677.876,0.723
2024/12/31 2:00:00,247.9,8.26,"1,116","2,047.654",0.545
2024/12/31 3:00:00,249.5,7.35,830,"1,833.825",0.453
2024/12/31 4:00:00,251.1,2.93,535,735.723,0.727
2024/12/31 5:00:00,246.6,2.05,208,505.53,0.411
2024/12/31 6:00:00,235.1,6.73,855,"1,582.223",0.54
2024/12/31 7:00:00,214.6,7.63,"1,052","1,637.398",0.642
2024/12/31 8:00:00,191.9,2.29,292,439.451,0.664
2024/12/31 9:00:00,203.4,14.65,"2,958","2,979.81",0.993
2024/12/31 10:00:00,191.3,16.49,"2,976","3,154.537",0.943
2024/12/31 11:00:00,191.8,15.24,"2,746","2,923.032",0.939
2024/12/31 12:00:00,221.2,7.73,"1,663","1,709.876",0.973
2024/12/31 13:00:00,217,16.11,"3,372","3,495.87",0.965
2024/12/31 14:00:00,228.2,15.41,"3,383","3,516.562",0.962
2024/12/31 15:00:00,217.8,6.67,"1,432","1,452.726",0.986
2024/12/31 16:00:00,211.9,12.12,"2,554","2,568.228",0.994
2024/12/31 17:00:00,201.9,6.55,916,"1,322.445",0.693
2024/12/31 18:00:00,202.6,6.9,988,"1,397.94",0.707
2024/12/31 19:00:00,209.9,3.03,413,635.997,0.649
2024/12/31 20:00:00,219.4,1.5,223,329.1,0.678
2024/12/31 21:00:00,226.5,6.13,933,"1,388.445",0.672
2024/12/31 22:00:00,234.8,5.72,689,"1,343.056",0.513
2024/12/31 23:00:00,237.1,2.31,305,547.701,0.557
2025/1/1 0:00:00,245.6,2.14,253,525.584,0.481
2025/1/1 1:00:00,242.9,6.17,740,"1,498.693",0.494
2025/1/1 2:00:00,243.6,6.09,688,"1,483.524",0.464
2025/1/1 3:00:00,246.1,3.48,509,856.428,0.594
2025/1/1 4:00:00,247.2,2.61,335,645.192,0.519
2025/1/1 5:00:00,244.5,6.61,911,"1,616.145",0.564
2025/1/1 6:00:00,238.5,7.23,"1,052","1,724.355",0.61
2025/1/1 7:00:00,221,2.51,336,554.71,0.606
2025/1/1 8:00:00,199.8,2.59,352,517.482,0.68
2025/1/1 9:00:00,211,15.44,"3,067","3,257.84",0.941
2025/1/1 10:00:00,191.4,14.91,"2,681","2,853.774",0.939
2025/1/1 11:00:00,199.2,9.41,"1,854","1,874.472",0.989
2025/1/1 12:00:00,205.9,11.97,"2,447","2,464.623",0.993
2025/1/1 13:00:00,213.3,8.33,"1,366","1,776.789",0.769
2025/1/1 14:00:00,215.5,9.54,"1,711","2,055.87",0.832
2025/1/1 15:00:00,213.2,12.82,"2,722","2,733.224",0.996
2025/1/1 16:00:00,217.2,6.36,"1,326","1,381.392",0.96
2025/1/1 17:00:00,211.1,6.57,907,"1,386.927",0.654
2025/1/1 18:00:00,216.6,7.62,"1,066","1,650.492",0.646
2025/1/1 19:00:00,216,11.25,"2,413","2,430",0.993
2025/1/1 20:00:00,224.1,3.22,469,721.602,0.65
2025/1/1 21:00:00,226.3,5.48,686,"1,240.124",0.553
2025/1/1 22:00:00,227.8,6.11,909,"1,391.858",0.653
2025/1/1 23:00:00,234.8,2.16,246,507.168,0.485
2025/1/2 0:00:00,240.7,2.77,337,666.739,0.505
2025/1/2 1:00:00,242.9,7.55,976,"1,833.895",0.532
2025/1/2 2:00:00,246,7.66,963,"1,884.36",0.511
2025/1/2 3:00:00,248.2,3.17,363,786.794,0.461
2025/1/2 4:00:00,249.1,2.92,502,727.372,0.69
2025/1/2 5:00:00,246.2,6.81,861,"1,676.622",0.514
2025/1/2 6:00:00,240.2,7.08,"1,057","1,700.616",0.622
2025/1/2 7:00:00,227.1,2.31,415,524.601,0.791
2025/1/2 8:00:00,207.8,3.43,284,712.754,0.398
2025/1/2 9:00:00,221.8,15.44,"3,301","3,424.592",0.964
2025/1/2 10:00:00,199.2,10.22,"1,778","2,035.824",0.873
2025/1/2 11:00:00,208.2,7.68,"1,538","1,598.976",0.962
2025/1/2 12:00:00,225.1,13.75,"3,192","3,095.125",1.031
2025/1/2 13:00:00,224.5,5.1,866,"1,144.95",0.756
2025/1/2 14:00:00,216.6,17.67,"3,640","3,827.322",0.951
2025/1/2 15:00:00,217,8.65,"1,846","1,877.05",0.983
2025/1/2 16:00:00,225.9,3.28,501,740.952,0.676
2025/1/2 17:00:00,216.6,5.86,791,"1,269.276",0.623
2025/1/2 18:00:00,204.4,5.55,639,"1,134.42",0.563
2025/1/2 19:00:00,211.5,10.91,"2,293","2,307.465",0.994
2025/1/2 20:00:00,214.7,5.15,"1,072","1,105.705",0.97
2025/1/2 21:00:00,225.9,6.47,903,"1,461.573",0.618
2025/1/2 22:00:00,240.6,5.94,686,"1,429.164",0.48
2025/1/2 23:00:00,235.2,2.21,262,519.792,0.504
2025/1/3 0:00:00,236.7,1.75,194,414.225,0.468
2025/1/3 1:00:00,238.1,5.9,722,"1,404.79",0.514
2025/1/3 2:00:00,241.5,6.58,821,"1,589.07",0.517
2025/1/3 3:00:00,245.2,1.97,207,483.044,0.429
2025/1/3 4:00:00,246.9,2.11,243,520.959,0.466
2025/1/3 5:00:00,246.9,6.33,729,"1,562.877",0.466
2025/1/3 6:00:00,231.1,5.52,651,"1,275.672",0.51
2025/1/3 7:00:00,226.4,2.62,397,593.168,0.669
2025/1/3 8:00:00,217,1.46,173,316.82,0.546
2025/1/3 9:00:00,212.8,8.5,"1,390","1,808.8",0.768
2025/1/3 10:00:00,209.9,6.42,809,"1,347.558",0.6
2025/1/3 11:00:00,202.3,4.6,852,930.58,0.916
2025/1/3 12:00:00,220.1,3.93,771,864.993,0.891
2025/1/3 13:00:00,219.7,6.13,869,"1,346.761",0.645
2025/1/3 14:00:00,224.4,5.48,749,"1,229.712",0.609
2025/1/3 15:00:00,219.1,2.27,338,497.357,0.68
2025/1/3 16:00:00,223.9,2.9,332,649.31,0.511
2025/1/3 17:00:00,229.7,5.57,738,"1,279.429",0.577
2025/1/3 18:00:00,209.4,5.78,677,"1,210.332",0.559
2025/1/3 19:00:00,216.6,1.68,228,363.888,0.627
2025/1/3 20:00:00,221.5,1.61,229,356.615,0.642
2025/1/3 21:00:00,225.7,5.79,761,"1,306.803",0.582
2025/1/3 22:00:00,231.9,5.55,703,"1,287.045",0.546
2025/1/3 23:00:00,240.7,1.91,247,459.737,0.537
2025/1/4 0:00:00,246.2,3.42,522,842.004,0.62
2025/1/4 1:00:00,247.7,4.72,598,"1,169.144",0.511
2025/1/4 2:00:00,247.8,6.98,910,"1,729.644",0.526
2025/1/4 3:00:00,252.1,2.21,268,557.141,0.481
2025/1/4 4:00:00,251.1,3.65,562,916.515,0.613
2025/1/4 5:00:00,249,4.43,561,"1,103.07",0.509
2025/1/4 6:00:00,246,6.26,768,"1,539.96",0.499
2025/1/4 7:00:00,232.5,2.99,445,695.175,0.64
2025/1/4 8:00:00,216.8,2.18,308,472.624,0.652
2025/1/4 9:00:00,207.9,2.29,330,476.091,0.693
2025/1/4 10:00:00,214.7,9.86,"1,777","2,116.942",0.839
2025/1/4 11:00:00,233.1,2.57,382,599.067,0.638
2025/1/4 12:00:00,234.2,3.2,511,749.44,0.682
2025/1/4 13:00:00,236.9,2.25,353,533.025,0.662
2025/1/4 14:00:00,239.4,6.21,850,"1,486.674",0.572
2025/1/4 15:00:00,236.4,5.71,718,"1,349.844",0.532
2025/1/4 16:00:00,235.4,1.87,281,440.198,0.638
2025/1/4 17:00:00,237.1,2.36,365,559.556,0.652
2025/1/4 18:00:00,213.8,5.98,746,"1,278.524",0.583
2025/1/4 19:00:00,214.4,6.26,694,"1,342.144",0.517
2025/1/4 20:00:00,219.2,2.22,323,486.624,0.664
2025/1/4 21:00:00,224.4,3.89,627,872.916,0.718
2025/1/4 22:00:00,235.6,6.37,894,"1,500.772",0.596
2025/1/4 23:00:00,237.6,6.29,863,"1,494.504",0.577
2025/1/5 0:00:00,243.2,2.43,364,590.976,0.616
2025/1/5 1:00:00,245.8,1.99,267,489.142,0.546
2025/1/5 2:00:00,244.4,6.26,812,"1,529.944",0.531
2025/1/5 3:00:00,248.7,6.96,899,"1,730.952",0.519
2025/1/5 4:00:00,252.3,3.22,428,812.406,0.527
2025/1/5 5:00:00,251.2,3.12,395,783.744,0.504
2025/1/5 6:00:00,240.6,5.02,653,"1,207.812",0.541
2025/1/5 7:00:00,222.4,5.87,787,"1,305.488",0.603
2025/1/5 8:00:00,216.4,2.32,351,502.048,0.699
2025/1/5 9:00:00,205,15.69,"3,201","3,216.45",0.995
2025/1/5 10:00:00,205.4,9.21,"1,765","1,891.734",0.933
2025/1/5 11:00:00,202.9,18.8,"3,694","3,814.52",0.968
2025/1/5 12:00:00,224.2,11.13,"2,463","2,495.346",0.987
2025/1/5 13:00:00,227.9,13.83,"3,115","3,151.857",0.988
2025/1/5 14:00:00,219.7,17.05,"3,737","3,745.885",0.998
2025/1/5 15:00:00,217.7,11.71,"2,379","2,549.267",0.933
2025/1/5 16:00:00,220.3,13.67,"2,879","3,011.501",0.956
2025/1/5 17:00:00,216.1,3.37,501,728.257,0.688
2025/1/5 18:00:00,198.7,2.1,339,417.27,0.812
2025/1/5 19:00:00,211.4,5.92,673,"1,251.488",0.538
