Time,Voltage,Current,Power,Apparent Power,PF
2024/12/31 0:00:00,245,0.14,30,34.3,0.875
2024/12/31 1:00:00,249.5,0.14,31,34.93,0.887
2024/12/31 2:00:00,248.6,0.14,30,34.804,0.862
2024/12/31 3:00:00,251,0.14,31,35.14,0.882
2024/12/31 4:00:00,251.3,0.14,31,35.182,0.881
2024/12/31 5:00:00,246.6,0.13,29,32.058,0.905
2024/12/31 6:00:00,235.2,0.13,28,30.576,0.916
2024/12/31 7:00:00,216.8,0.12,25,26.016,0.961
2024/12/31 8:00:00,195.9,0.18,30,35.262,0.851
2024/12/31 9:00:00,205.8,0.12,24,24.696,0.972
2024/12/31 10:00:00,194.4,0.35,60,68.04,0.882
2024/12/31 11:00:00,193.2,0.31,53,59.892,0.885
2024/12/31 12:00:00,225.1,0.24,46,54.024,0.851
2024/12/31 13:00:00,220.1,0.16,29,35.216,0.823
2024/12/31 14:00:00,229.3,0.14,28,32.102,0.872
2024/12/31 15:00:00,219.4,6.54,"1,435","1,434.876",1
2024/12/31 16:00:00,214.1,0.13,25,27.833,0.898
2024/12/31 17:00:00,204,0.13,24,26.52,0.905
2024/12/31 18:00:00,204.9,0.13,24,26.637,0.901
2024/12/31 19:00:00,210.9,0.12,24,25.308,0.948
2024/12/31 20:00:00,220.4,0.13,25,28.652,0.873
2024/12/31 21:00:00,228,0.13,27,29.64,0.911
2024/12/31 22:00:00,237.4,0.13,27,30.862,0.875
2024/12/31 23:00:00,237.4,0.13,28,30.862,0.907
2025/1/1 0:00:00,245.4,0.14,30,34.356,0.873
2025/1/1 1:00:00,242.8,0.13,29,31.564,0.919
2025/1/1 2:00:00,245.1,0.13,29,31.863,0.91
2025/1/1 3:00:00,246.3,0.13,29,32.019,0.906
2025/1/1 4:00:00,248.3,0.15,32,37.245,0.859
2025/1/1 5:00:00,246.1,0.14,30,34.454,0.871
2025/1/1 6:00:00,239.6,0.14,29,33.544,0.865
2025/1/1 7:00:00,223.3,0.12,25,26.796,0.933
2025/1/1 8:00:00,199.5,0.12,23,23.94,0.961
2025/1/1 9:00:00,212.1,2.37,502,502.677,0.999
2025/1/1 10:00:00,193.4,0.35,59,67.69,0.872
2025/1/1 11:00:00,200.8,3.3,661,662.64,0.998
2025/1/1 12:00:00,208.9,3.31,691,691.459,0.999
2025/1/1 13:00:00,212.8,0.24,43,51.072,0.842
2025/1/1 14:00:00,218.1,0.14,29,30.534,0.95
2025/1/1 15:00:00,214.9,0.14,27,30.086,0.897
2025/1/1 16:00:00,216.8,0.14,27,30.352,0.89
2025/1/1 17:00:00,212.9,0.14,26,29.806,0.872
2025/1/1 18:00:00,217,0.14,27,30.38,0.889
2025/1/1 19:00:00,217.4,0.14,27,30.436,0.887
2025/1/1 20:00:00,224.8,0.14,28,31.472,0.89
2025/1/1 21:00:00,227.2,0.14,29,31.808,0.912
2025/1/1 22:00:00,229.3,0.14,29,32.102,0.903
2025/1/1 23:00:00,234.8,0.14,29,32.872,0.882
2025/1/2 0:00:00,240.9,0.14,31,33.726,0.919
2025/1/2 1:00:00,243.3,0.14,31,34.062,0.91
2025/1/2 2:00:00,247.1,0.15,32,37.065,0.863
2025/1/2 3:00:00,248.1,0.15,32,37.215,0.86
2025/1/2 4:00:00,250,0.14,32,35,0.914
2025/1/2 5:00:00,247.9,0.14,31,34.706,0.893
2025/1/2 6:00:00,241.8,0.14,30,33.852,0.886
2025/1/2 7:00:00,228.4,0.13,27,29.692,0.909
2025/1/2 8:00:00,210.6,0.13,25,27.378,0.913
2025/1/2 9:00:00,225.2,0.14,29,31.528,0.92
2025/1/2 10:00:00,199.8,3.29,657,657.342,0.999
2025/1/2 11:00:00,209.4,0.17,28,35.598,0.787
2025/1/2 12:00:00,227.5,0.19,36,43.225,0.833
2025/1/2 13:00:00,225.3,0.18,35,40.554,0.863
2025/1/2 14:00:00,218.9,3.38,738,739.882,0.997
2025/1/2 15:00:00,216.9,6.52,"1,414","1,414.188",1
2025/1/2 16:00:00,226.3,0.14,28,31.682,0.884
2025/1/2 17:00:00,217,0.13,27,28.21,0.957
2025/1/2 18:00:00,206,0.13,25,26.78,0.934
2025/1/2 19:00:00,213.9,0.13,26,27.807,0.935
2025/1/2 20:00:00,215.3,0.13,27,27.989,0.965
2025/1/2 21:00:00,227.4,0.13,29,29.562,0.981
2025/1/2 22:00:00,241,0.14,32,33.74,0.948
2025/1/2 23:00:00,235.7,0.14,30,32.998,0.909
2025/1/3 0:00:00,237.2,0.14,30,33.208,0.903
2025/1/3 1:00:00,238.1,0.14,31,33.334,0.93
2025/1/3 2:00:00,242.7,0.14,32,33.978,0.942
2025/1/3 3:00:00,246,0.15,32,36.9,0.867
2025/1/3 4:00:00,247.2,0.14,32,34.608,0.925
2025/1/3 5:00:00,247.8,0.15,32,37.17,0.861
2025/1/3 6:00:00,231.8,2.59,600,600.362,0.999
2025/1/3 7:00:00,226.7,0.11,22,24.937,0.882
2025/1/3 8:00:00,216.8,0.12,23,26.016,0.884
2025/1/3 9:00:00,215.3,0.1,20,21.53,0.929
2025/1/3 10:00:00,210.2,2.47,519,519.194,1
2025/1/3 11:00:00,205.2,3.28,674,673.056,1.001
2025/1/3 12:00:00,217.6,3.35,728,728.96,0.999
2025/1/3 13:00:00,219.7,3.25,714,714.025,1
2025/1/3 14:00:00,224.3,0.2,32,44.86,0.713
2025/1/3 15:00:00,220.1,3.36,739,739.536,0.999
2025/1/3 16:00:00,225.5,0.1,20,22.55,0.887
2025/1/3 17:00:00,230.8,0.1,20,23.08,0.867
2025/1/3 18:00:00,210.6,0.1,18,21.06,0.855
2025/1/3 19:00:00,217,0.1,18,21.7,0.829
2025/1/3 20:00:00,221.6,0.1,19,22.16,0.857
2025/1/3 21:00:00,226.6,0.1,20,22.66,0.883
2025/1/3 22:00:00,232.9,0.1,21,23.29,0.902
2025/1/3 23:00:00,241.8,0.11,23,26.598,0.865
2025/1/4 0:00:00,245.4,0.11,23,26.994,0.852
2025/1/4 1:00:00,248,0.11,24,27.28,0.88
2025/1/4 2:00:00,250.4,0.12,24,30.048,0.799
2025/1/4 3:00:00,252.4,0.12,24,30.288,0.792
2025/1/4 4:00:00,252.3,0.12,24,30.276,0.793
