Time,Voltage,Current,Power,Apparent Power,PF
2024/12/31 0:00:00,251.4,120.27,"29,520","30,235.878",0.976
2024/12/31 1:00:00,253.8,103.08,"25,340","26,161.704",0.969
2024/12/31 2:00:00,254.9,97.71,"23,856","24,906.279",0.958
2024/12/31 3:00:00,255.9,91.61,"22,346","23,442.999",0.953
2024/12/31 4:00:00,256.2,83.16,"20,306","21,305.592",0.953
2024/12/31 5:00:00,252.8,91.24,"22,048","23,065.472",0.956
2024/12/31 6:00:00,241.9,129.28,"30,672","31,272.832",0.981
2024/12/31 7:00:00,228.5,171.99,"38,990","39,299.715",0.992
2024/12/31 8:00:00,205.9,210.86,"43,220","43,416.074",0.995
2024/12/31 9:00:00,215.6,199.7,"42,762","43,055.32",0.993
2024/12/31 10:00:00,208.7,294.79,"61,382","61,522.673",0.998
2024/12/31 11:00:00,210.2,314.07,"64,182","66,017.514",0.972
2024/12/31 12:00:00,230.6,189.66,"42,430","43,735.596",0.97
2024/12/31 13:00:00,231.7,241.69,"55,794","55,999.573",0.996
2024/12/31 14:00:00,235.1,197.8,"45,360","46,502.78",0.975
2024/12/31 15:00:00,230.1,237.48,"54,498","54,644.148",0.997
2024/12/31 16:00:00,223.1,152.94,"33,884","34,120.914",0.993
2024/12/31 17:00:00,215.7,182.37,"38,700","39,337.209",0.984
2024/12/31 18:00:00,216,195.7,"41,904","42,271.2",0.991
2024/12/31 19:00:00,222.2,211.4,"46,620","46,973.08",0.992
2024/12/31 20:00:00,233.5,212.31,"49,246","49,574.385",0.993
2024/12/31 21:00:00,238.2,196.66,"46,466","46,844.412",0.992
2024/12/31 22:00:00,248,188.8,"46,402","46,822.4",0.991
2024/12/31 23:00:00,247.6,171.25,"41,954","42,401.5",0.989
2025/1/1 0:00:00,252.7,129.5,"32,048","32,724.65",0.979
2025/1/1 1:00:00,252.1,126.06,"30,974","31,779.726",0.975
2025/1/1 2:00:00,253,121.3,"29,720","30,688.9",0.968
2025/1/1 3:00:00,252.7,95.22,"23,194","24,062.094",0.964
2025/1/1 4:00:00,253.1,89.64,"21,702","22,687.884",0.957
2025/1/1 5:00:00,250.5,86.8,"20,732","21,743.4",0.953
2025/1/1 6:00:00,244.4,116.53,"27,572","28,479.932",0.968
2025/1/1 7:00:00,235.1,159.02,"37,000","37,385.602",0.99
2025/1/1 8:00:00,210.6,194.47,"40,802","40,955.382",0.996
2025/1/1 9:00:00,222.9,176.74,"39,292","39,395.346",0.997
2025/1/1 10:00:00,212.2,325.1,"68,738","68,986.22",0.996
2025/1/1 11:00:00,217.9,281.74,"61,242","61,391.146",0.998
2025/1/1 12:00:00,219.2,254.05,"55,584","55,687.76",0.998
2025/1/1 13:00:00,225.9,210.91,"47,484","47,644.569",0.997
2025/1/1 14:00:00,227.9,186.23,"42,172","42,441.817",0.994
2025/1/1 15:00:00,226.6,214.16,"48,420","48,528.656",0.998
2025/1/1 16:00:00,225.4,153.1,"34,524","34,508.74",1
2025/1/1 17:00:00,224.6,173.57,"38,576","38,983.822",0.99
2025/1/1 18:00:00,225.6,179.49,"40,150","40,492.944",0.992
2025/1/1 19:00:00,228.9,205.2,"46,696","46,970.28",0.994
2025/1/1 20:00:00,235.4,192.33,"44,942","45,274.482",0.993
2025/1/1 21:00:00,239.8,206.8,"49,236","49,590.64",0.993
2025/1/1 22:00:00,240.6,187.21,"44,626","45,042.726",0.991
2025/1/1 23:00:00,248.2,191.91,"47,242","47,632.062",0.992
2025/1/2 0:00:00,251.7,162.48,"40,488","40,896.216",0.99
2025/1/2 1:00:00,253.2,147.35,"36,742","37,309.02",0.985
2025/1/2 2:00:00,254.7,124.36,"30,946","31,674.492",0.977
2025/1/2 3:00:00,255.8,114.03,"28,460","29,168.874",0.976
2025/1/2 4:00:00,256,103.68,"25,818","26,542.08",0.973
2025/1/2 5:00:00,255,110.12,"27,294","28,080.6",0.972
2025/1/2 6:00:00,248.8,132.43,"32,248","32,948.584",0.979
2025/1/2 7:00:00,239.4,188.27,"44,854","45,071.838",0.995
2025/1/2 8:00:00,218.6,184.93,"40,282","40,425.698",0.996
2025/1/2 9:00:00,230.3,135.86,"31,126","31,288.558",0.995
2025/1/2 10:00:00,214.9,252.67,"54,000","54,298.783",0.994
2025/1/2 11:00:00,219.2,255.4,"55,888","55,983.68",0.998
2025/1/2 12:00:00,231.9,171.8,"39,724","39,840.42",0.997
2025/1/2 13:00:00,230.6,177.92,"40,860","41,028.352",0.996
2025/1/2 14:00:00,229.7,204.97,"46,932","47,081.609",0.997
2025/1/2 15:00:00,231.9,221.67,"51,254","51,405.273",0.997
2025/1/2 16:00:00,234.9,135.44,"31,618","31,814.856",0.994
2025/1/2 17:00:00,227.2,146.12,"32,832","33,198.464",0.989
2025/1/2 18:00:00,218.1,190.57,"41,240","41,563.317",0.992
2025/1/2 19:00:00,222.2,184.63,"40,708","41,024.786",0.992
2025/1/2 20:00:00,229.7,237.63,"54,296","54,583.611",0.995
2025/1/2 21:00:00,239.8,218.43,"51,950","52,379.514",0.992
2025/1/2 22:00:00,252.6,186.41,"46,610","47,087.166",0.99
2025/1/2 23:00:00,246,165.86,"40,388","40,801.56",0.99
2025/1/3 0:00:00,247.5,162.04,"39,636","40,104.9",0.988
2025/1/3 1:00:00,247.7,130.68,"31,692","32,369.436",0.979
2025/1/3 2:00:00,249.5,101.8,"24,562","25,399.1",0.967
2025/1/3 3:00:00,251,85.76,"20,658","21,525.76",0.96
2025/1/3 4:00:00,251.8,85.44,"20,668","21,513.792",0.961
2025/1/3 5:00:00,250.2,75.15,"17,636","18,802.53",0.938
2025/1/3 6:00:00,242.2,126.84,"30,114","30,720.648",0.98
2025/1/3 7:00:00,233.8,155.13,"35,962","36,269.394",0.992
2025/1/3 8:00:00,227.2,179.1,"40,530","40,691.52",0.996
2025/1/3 9:00:00,218.5,132.05,"28,924","28,852.925",1.002
2025/1/3 10:00:00,214.9,164.26,"35,158","35,299.474",0.996
2025/1/3 11:00:00,214.5,226.97,"48,600","48,685.065",0.998
2025/1/3 12:00:00,226.7,161.75,"36,504","36,668.725",0.996
2025/1/3 13:00:00,229.5,190.52,"43,596","43,724.34",0.997
2025/1/3 14:00:00,232.8,142.23,"32,986","33,111.144",0.996
2025/1/3 15:00:00,229.1,161.28,"36,634","36,949.248",0.991
2025/1/3 16:00:00,231.3,129.62,"29,724","29,981.106",0.991
2025/1/3 17:00:00,237.6,129.62,"30,164","30,797.712",0.979
2025/1/3 18:00:00,218.7,170.47,"36,874","37,281.789",0.989
2025/1/3 19:00:00,224,157.39,"34,894","35,255.36",0.99
2025/1/3 20:00:00,231.8,177.29,"40,742","41,095.822",0.991
2025/1/3 21:00:00,238.2,194.98,"46,026","46,444.236",0.991
2025/1/3 22:00:00,243,168.4,"40,434","40,921.2",0.988
2025/1/3 23:00:00,250,156.66,"38,644","39,165",0.987
2025/1/4 0:00:00,253.8,126.63,"31,512","32,138.694",0.981
2025/1/4 1:00:00,254.9,109.92,"27,176","28,018.608",0.97
2025/1/4 2:00:00,255.6,111.2,"27,614","28,422.72",0.972
2025/1/4 3:00:00,256.7,81.89,"20,080","21,021.163",0.955
2025/1/4 4:00:00,255.5,77.52,"18,746","19,806.36",0.946
2025/1/4 5:00:00,253.1,84.56,"20,288","21,402.136",0.948
2025/1/4 6:00:00,250.9,84.57,"20,320","21,218.613",0.958
2025/1/4 7:00:00,243.7,135.45,"32,602","33,009.165",0.988
2025/1/4 8:00:00,228.4,158.77,"36,096","36,263.068",0.995
2025/1/4 9:00:00,220.8,173.44,"38,216","38,295.552",0.998
2025/1/4 10:00:00,227.6,157.61,"35,760","35,872.036",0.997
2025/1/4 11:00:00,238.8,124.63,"29,642","29,761.644",0.996
2025/1/4 12:00:00,243,108.52,"26,194","26,370.36",0.993
2025/1/4 13:00:00,244,116.78,"28,354","28,494.32",0.995
2025/1/4 14:00:00,244.9,93.88,"22,788","22,991.212",0.991
2025/1/4 15:00:00,241.2,92.03,"21,698","22,197.636",0.977
2025/1/4 16:00:00,240.2,110,"26,058","26,422",0.986
2025/1/4 17:00:00,242.8,107.69,"25,852","26,147.132",0.989
2025/1/4 18:00:00,224.3,159.43,"35,342","35,760.149",0.988
2025/1/4 19:00:00,227.1,180.54,"40,594","41,000.634",0.99
2025/1/4 20:00:00,232.7,187.57,"43,290","43,647.539",0.992
2025/1/4 21:00:00,239.2,185.47,"43,884","44,364.424",0.989
2025/1/4 22:00:00,246.1,165.86,"40,334","40,818.146",0.988
2025/1/4 23:00:00,249.8,153.98,"37,924","38,464.204",0.986
2025/1/5 0:00:00,253.6,139.51,"34,820","35,379.736",0.984
2025/1/5 1:00:00,251.9,102.86,"25,184","25,910.434",0.972
2025/1/5 2:00:00,252.2,103.21,"25,228","26,029.562",0.969
2025/1/5 3:00:00,256,98.72,"24,332","25,272.32",0.963
2025/1/5 4:00:00,257.5,80.53,"19,786","20,736.475",0.954
2025/1/5 5:00:00,255.8,88.29,"21,616","22,584.582",0.957
2025/1/5 6:00:00,247.6,107.2,"25,768","26,542.72",0.971
2025/1/5 7:00:00,235.1,165.69,"38,658","38,953.719",0.992
2025/1/5 8:00:00,229.6,186.57,"42,624","42,836.472",0.995
2025/1/5 9:00:00,215.4,169.26,"36,222","36,458.604",0.994
2025/1/5 10:00:00,217.6,257.87,"55,920","56,112.512",0.997
2025/1/5 11:00:00,219.1,278.74,"60,676","61,071.934",0.994
2025/1/5 12:00:00,228.5,189.03,"42,930","43,193.355",0.994
2025/1/5 13:00:00,232.5,204.95,"47,118","47,650.875",0.989
2025/1/5 14:00:00,229.9,227.66,"51,942","52,339.034",0.992
2025/1/5 15:00:00,228.6,235.78,"53,592","53,899.308",0.994
2025/1/5 16:00:00,231.4,177,"40,708","40,957.8",0.994
2025/1/5 17:00:00,230.1,217.45,"49,580","50,035.245",0.991
2025/1/5 18:00:00,214.5,225.02,"47,962","48,266.79",0.994
2025/1/5 19:00:00,221.6,183.89,"40,408","40,750.024",0.992
2025/1/5 20:00:00,227.3,209.7,"47,362","47,664.81",0.994
2025/1/5 21:00:00,232,199.07,"45,894","46,184.24",0.994
2025/1/5 22:00:00,243.8,190.57,"46,112","46,460.966",0.992
2025/1/5 23:00:00,249.8,177.45,"43,844","44,327.01",0.989
2025/1/6 0:00:00,252.4,156.68,"38,940","39,546.032",0.985
2025/1/6 1:00:00,255.5,117,"29,238","29,893.5",0.978
2025/1/6 2:00:00,257,90.27,"22,314","23,199.39",0.962
2025/1/6 3:00:00,256.9,102.7,"25,384","26,383.63",0.962
2025/1/6 4:00:00,258,91.82,"22,570","23,689.56",0.953
2025/1/6 5:00:00,253.2,92.85,"22,686","23,509.62",0.965
2025/1/6 6:00:00,247,105.34,"25,366","26,018.98",0.975
2025/1/6 7:00:00,237.6,136.54,"32,026","32,441.904",0.987
2025/1/6 8:00:00,217.8,123.24,"26,564","26,841.672",0.99
2025/1/6 9:00:00,223.6,202.18,"44,946","45,207.448",0.994
2025/1/6 10:00:00,225.9,238.59,"53,790","53,897.481",0.998
2025/1/6 11:00:00,228.9,207.22,"47,190","47,432.658",0.995
2025/1/6 12:00:00,232.6,165.45,"37,850","38,483.67",0.984
2025/1/6 13:00:00,231.9,174.75,"40,114","40,524.525",0.99
2025/1/6 14:00:00,234,146,"33,994","34,164",0.995
2025/1/6 15:00:00,233.9,189.2,"44,004","44,253.88",0.994
2025/1/6 16:00:00,239.9,114.38,"27,098","27,439.762",0.988
2025/1/6 17:00:00,240.9,114.15,"27,012","27,498.735",0.982
2025/1/6 18:00:00,222.9,166.08,"36,710","37,019.232",0.992
2025/1/6 19:00:00,224.4,153.23,"33,958","34,384.812",0.988
2025/1/6 20:00:00,229.4,185.18,"42,112","42,480.292",0.991
2025/1/6 21:00:00,237.4,219.25,"51,700","52,049.95",0.993
2025/1/6 22:00:00,238.7,208.69,"49,484","49,814.303",0.993
2025/1/6 23:00:00,246.1,182.54,"44,526","44,923.094",0.991
2025/1/7 0:00:00,251.2,144.7,"35,656","36,348.64",0.981
2025/1/7 1:00:00,253.6,115.93,"28,638","29,399.848",0.974
2025/1/7 2:00:00,255.7,89.36,"21,996","22,849.352",0.963
2025/1/7 3:00:00,255.6,92.67,"22,800","23,686.452",0.963
2025/1/7 4:00:00,255,89.82,"21,932","22,904.1",0.958
2025/1/7 5:00:00,252.3,99.93,"24,308","25,212.339",0.964
2025/1/7 6:00:00,241.8,133.77,"31,840","32,345.586",0.984
2025/1/7 7:00:00,236.7,191.23,"45,008","45,264.141",0.994
2025/1/7 8:00:00,218,207.98,"45,230","45,339.64",0.998
2025/1/7 9:00:00,226.7,129.95,"29,324","29,459.665",0.995
2025/1/7 10:00:00,231.5,159.68,"36,764","36,965.92",0.995
2025/1/7 11:00:00,241.8,207.86,"49,814","50,260.548",0.991
2025/1/7 12:00:00,241.4,226.49,"54,482","54,674.686",0.996
2025/1/7 13:00:00,228.5,235.36,"53,686","53,779.76",0.998
2025/1/7 14:00:00,234.1,196.37,"45,546","45,970.217",0.991
2025/1/7 15:00:00,231.2,218.97,"50,516","50,625.864",0.998
2025/1/7 16:00:00,233.9,152.06,"35,228","35,566.834",0.99
2025/1/7 17:00:00,230.1,175.57,"40,052","40,398.657",0.991
2025/1/7 18:00:00,224.1,182.15,"40,466","40,819.815",0.991
2025/1/7 19:00:00,227.8,183.73,"41,504","41,853.694",0.992
2025/1/7 20:00:00,239.4,165.28,"39,212","39,568.032",0.991
2025/1/7 21:00:00,242.5,196.29,"47,202","47,600.325",0.992
2025/1/7 22:00:00,246.2,183.93,"44,674","45,283.566",0.987
2025/1/7 23:00:00,252.6,137.6,"34,190","34,757.76",0.984
2025/1/8 0:00:00,253.7,129.95,"32,386","32,968.315",0.982
2025/1/8 1:00:00,253.4,119.95,"29,598","30,395.33",0.974
2025/1/8 2:00:00,255,109.64,"27,176","27,958.2",0.972
2025/1/8 3:00:00,256.2,81.3,"19,788","20,829.06",0.95
2025/1/8 4:00:00,259.1,88.2,"21,766","22,852.62",0.952
2025/1/8 5:00:00,257.4,86.17,"21,084","22,180.158",0.951
2025/1/8 6:00:00,250,105.28,"25,482","26,320",0.968
2025/1/8 7:00:00,235.8,179.09,"41,906","42,229.422",0.992
2025/1/8 8:00:00,220.2,174.63,"38,298","38,453.526",0.996
2025/1/8 9:00:00,218.1,201.4,"43,846","43,925.34",0.998
2025/1/8 10:00:00,220.9,242.32,"53,428","53,528.488",0.998
2025/1/8 11:00:00,231.2,205.46,"47,348","47,502.352",0.997
2025/1/8 12:00:00,231.6,210.98,"48,772","48,862.968",0.998
2025/1/8 13:00:00,235.1,176.15,"41,234","41,412.865",0.996
2025/1/8 14:00:00,238.1,178.42,"42,300","42,481.802",0.996
2025/1/8 15:00:00,238.8,184.2,"43,876","43,986.96",0.997
2025/1/8 16:00:00,242.6,137.43,"33,068","33,340.518",0.992
2025/1/8 17:00:00,244.2,147.03,"35,444","35,904.726",0.987
2025/1/8 18:00:00,222.6,166.77,"36,602","37,123.002",0.986
2025/1/8 19:00:00,218.1,187.25,"40,516","40,839.225",0.992
2025/1/8 20:00:00,221.3,197.28,"43,326","43,658.064",0.992
